Trimestre;Índice (PIB efetivo de 2000=100);;Hiato de Produto;Fonte: Grupo de Conjuntuura/Dimac/Ipea.;;;
;Produto Potencial;PIB Efetivo com ajuste Sazonal (2000=100);;"Metodologia:
SOUZA-JÚNIOR, J. R. C. Produto Potencial e Hiato do Produto: nível atual e projeções para 2018. Carta de Conjuntura do Ipea, v. 36, 2017.
Disponível em:
<http://www.ipea.gov.br/cartadeconjuntura/index.php/2017/10/13/produto-potencial-e-hiato-do-produto-nivel-atual-cc36/>.";;;
1993 T1;84.49;80.46;-4.8%;;;;
1993 T2;84.93;81.38;-4.2%;;;;
1993 T3;85.53;82.39;-3.7%;;;;
1993 T4;85.93;82.81;-3.6%;;;;
1994 T1;86.40;83.09;-3.8%;;;;
1994 T2;86.88;83.07;-4.4%;;;;
1994 T3;88.03;87.13;-1.0%;;;;
1994 T4;88.34;91.23;3.3%;;;;
1995 T1;88.98;91.10;2.4%;;;;
1995 T2;89.40;90.16;0.8%;;;;
1995 T3;90.16;88.74;-1.6%;;;;
1995 T4;90.68;89.77;-1.0%;;;;
1996 T1;91.56;90.34;-1.3%;;;;
1996 T2;92.06;90.54;-1.6%;;;;
1996 T3;92.47;93.79;1.4%;;;;
1996 T4;92.91;92.94;0.0%;;;;
1997 T1;93.09;93.86;0.8%;;;;
1997 T2;93.58;94.20;0.7%;;;;
1997 T3;93.97;95.61;1.7%;;;;
1997 T4;94.23;96.45;2.4%;;;;
1998 T1;95.34;94.14;-1.3%;;;;
1998 T2;95.73;96.11;0.4%;;;;
1998 T3;95.81;96.11;0.3%;;;;
1998 T4;96.34;95.05;-1.3%;;;;
1999 T1;96.77;94.77;-2.1%;;;;
1999 T2;97.63;95.65;-2.0%;;;;
1999 T3;98.29;95.66;-2.7%;;;;
1999 T4;98.72;97.12;-1.6%;;;;
2000 T1;99.51;98.73;-0.8%;;;;
2000 T2;100.27;99.38;-0.9%;;;;
2000 T3;100.63;100.28;-0.4%;;;;
2000 T4;100.89;101.61;0.7%;;;;
2001 T1;101.80;101.98;0.2%;;;;
2001 T2;102.54;101.67;-0.8%;;;;
2001 T3;102.94;100.81;-2.1%;;;;
2001 T4;103.67;101.06;-2.5%;;;;
2002 T1;104.25;103.02;-1.2%;;;;
2002 T2;105.18;103.41;-1.7%;;;;
2002 T3;105.75;105.13;-0.6%;;;;
2002 T4;106.67;106.36;-0.3%;;;;
2003 T1;107.46;105.08;-2.2%;;;;
2003 T2;108.10;104.80;-3.1%;;;;
2003 T3;108.90;105.76;-2.9%;;;;
2003 T4;110.04;107.04;-2.7%;;;;
2004 T1;110.91;109.06;-1.7%;;;;
2004 T2;112.16;111.34;-0.7%;;;;
2004 T3;113.39;112.84;-0.5%;;;;
2004 T4;114.65;113.81;-0.7%;;;;
2005 T1;115.65;114.05;-1.4%;;;;
2005 T2;116.63;115.70;-0.8%;;;;
2005 T3;117.54;115.28;-1.9%;;;;
2005 T4;118.92;116.29;-2.2%;;;;
2006 T1;119.91;118.20;-1.4%;;;;
2006 T2;120.94;118.92;-1.7%;;;;
2006 T3;122.25;120.59;-1.4%;;;;
2006 T4;123.82;121.88;-1.6%;;;;
2007 T1;124.94;124.19;-0.6%;;;;
2007 T2;126.31;126.72;0.3%;;;;
2007 T3;127.54;127.78;0.2%;;;;
2007 T4;128.81;129.97;0.9%;;;;
2008 T1;130.45;132.32;1.4%;;;;
2008 T2;131.89;134.15;1.7%;;;;
2008 T3;133.35;136.84;2.6%;;;;
2008 T4;134.25;131.23;-2.2%;;;;
2009 T1;135.88;128.75;-5.2%;;;;
2009 T2;136.94;131.77;-3.8%;;;;
2009 T3;138.40;135.14;-2.4%;;;;
2009 T4;139.29;138.22;-0.8%;;;;
2010 T1;140.67;140.46;-0.1%;;;;
2010 T2;141.47;142.95;1.0%;;;;
2010 T3;142.33;144.57;1.6%;;;;
2010 T4;143.41;146.17;1.9%;;;;
2011 T1;145.40;147.58;1.5%;;;;
2011 T2;146.97;149.70;1.9%;;;;
2011 T3;148.24;149.73;1.0%;;;;
2011 T4;149.15;150.01;0.6%;;;;
2012 T1;150.10;149.92;-0.1%;;;;
2012 T2;150.92;151.23;0.2%;;;;
2012 T3;151.68;153.56;1.2%;;;;
2012 T4;152.42;153.85;0.9%;;;;
2013 T1;153.10;154.21;0.7%;;;;
2013 T2;153.47;156.86;2.2%;;;;
2013 T3;153.99;157.94;2.6%;;;;
2013 T4;154.50;157.86;2.2%;;;;
2014 T1;154.68;158.52;2.5%;;;;
2014 T2;155.11;156.86;1.1%;;;;
2014 T3;155.35;157.03;1.1%;;;;
2014 T4;155.54;157.67;1.4%;;;;
2015 T1;155.53;155.69;0.1%;;;;
2015 T2;155.28;152.71;-1.7%;;;;
2015 T3;155.08;150.34;-3.1%;;;;
2015 T4;154.93;148.96;-3.9%;;;;
2016 T1;154.81;147.98;-4.4%;;;;
2016 T2;154.80;146.95;-5.1%;;;;
2016 T3;154.58;146.34;-5.3%;;;;
2016 T4;154.67;145.36;-6.0%;;;;
2017 T1;154.67;147.25;-4.8%;;;;
2017 T2;154.87;148.10;-4.4%;;;;
2017 T3;155.15;148.46;-4.3%;;;;
2017 T4;155.37;148.54;-4.4%;;;;
