"date","inflation","exp_inflation","nominal_interest_rate","output_gap","inflation_diff","exp_inflation_diff","nominal_interest_rate_diff","output_gap_diff"
2002-01-01,0.0608267272462137,0.0494,0.1852,-0.013,-0.0303738059576162,0.001,-0.0053,0.012
2002-04-01,0.0586861830303067,0.0457,0.1841,-0.016,-0.002140544215907,-0.0037,-0.00109999999999999,-0.003
2002-07-01,0.107307824957121,0.0628,0.179,-0.006,0.0486216419268143,0.0171,-0.00510000000000002,0.01
2002-10-01,0.289431904977078,0.1324,0.249,-0.003,0.182124080019957,0.0696,0.07,0.003
2003-01-01,0.221664696623644,0.099,0.2632,-0.024,-0.067767208353434,-0.0334,0.0142,-0.021
2003-04-01,0.058586370008505,0.0708,0.2576,-0.03,-0.163078326615139,-0.0282,-0.00559999999999999,-0.006
2003-07-01,0.0540584373414448,0.0656,0.1984,-0.029,-0.0045279326670602,-0.0052,-0.0592,0.000999999999999997
2003-10-01,0.046976253870558,0.0592,0.1633,-0.027,-0.00708218347088679,-0.0064,-0.0351,0.002
2004-01-01,0.0761252961467227,0.0554,0.1611,-0.017,0.0291490422761647,-0.0038,-0.00220000000000001,0.01
2004-04-01,0.0654747753063813,0.0633,0.158,-0.008,-0.0106505208403414,0.0079,-0.00309999999999999,0.009
2004-07-01,0.0799544469632334,0.0624,0.1624,-0.005,0.0144796716568521,-0.000899999999999998,0.00439999999999999,0.003
2004-10-01,0.0825501758067795,0.0608,0.1775,-0.007,0.0025957288435461,-0.0016,0.0151,-0.002
2005-01-01,0.0735699671941201,0.0567,0.1925,-0.015,-0.0089802086126594,-0.0041,0.015,-0.008
2005-04-01,0.0548531348820973,0.0485,0.1974,-0.007,-0.0187168323120228,-0.0082,0.00489999999999999,0.008
2005-07-01,0.0312351972209033,0.0474,0.1953,-0.019,-0.023617937661194,-0.0011,-0.00209999999999999,-0.012
2005-10-01,0.0684424377591184,0.0446,0.1805,-0.022,0.0372072405382151,-0.0028,-0.0148,-0.003
2006-01-01,0.0587195962388347,0.0431,0.1654,-0.016,-0.0097228415202837,-0.0015,-0.0151,0.006
2006-04-01,0.00398829345224483,0.0398,0.1518,-0.015,-0.0547313027865899,-0.0033,-0.0136,0.001
2006-07-01,0.018146158133399,0.0393,0.1417,-0.013,0.0141578646811542,-5e-04,-0.0101,0.002
2006-10-01,0.0457278544013258,0.0408,0.1319,-0.015,0.0275816962679268,0.0015,-0.0098,-0.002
2007-01-01,0.0511612167047089,0.0374,0.1268,-0.005,0.0054333623033831,-0.0034,-0.00509999999999999,0.01
2007-04-01,0.0328853733924885,0.0347,0.1193,0.002,-0.0182758433122204,-0.0027,-0.00749999999999999,0.007
2007-07-01,0.0361770056408319,0.0375,0.1118,0.002,0.0032916322483434,0.0028,-0.00750000000000001,0
2007-10-01,0.0582792565434052,0.0445,0.1118,0.009,0.0221022509025733,0.007,0,0.007
2008-01-01,0.0621000127221383,0.0436,0.1118,0.012,0.0038207561787331,-0.000899999999999998,0,0.003
2008-04-01,0.0864402995956097,0.056,0.1217,0.019,0.0243402868734714,0.0124,0.00990000000000001,0.007
2008-07-01,0.0436402795979578,0.0501,0.1366,0.026,-0.0428000199976519,-0.0059,0.0149,0.007
